"ID","Set","Canonical_Smiles","Activity","RowID","slogp_VSA3","peoe_VSA8","MATS7m","MATS5e","MATS1i","GATS5m","GATS6m","GATS3s","GATS5s","GATS6s","P_VSA_LogP_5","P_VSA_MR_7","P_VSA_charge_7","P_VSA_charge_10","nRNH2","nRNHR","nRNR2","SdssC","minssCH2","mindssC","MaxssO","ESOL"
"AADCDMQTJNYOSS","PubChem","CCc1cc(Cl)c(OC)c(C(=O)NCC2CCCN2CC)c1O",1,"Row255",6.4208216229260096,12.586597235060536,-0.202614098150816,0.0629657655485247,-0.18053916590043,1.1788978469874,1.28766512689804,0.758275453701063,1.18935670046441,2.01037165941566,29.239386309325,39.148644061782,24.4768263257402,3.18557495074004,0,0,1,-0.347682350718065,0.558769132653061,-0.347682350718065,5.22849891345427,-3.6830016144305
"AADCDMQTJNYOSS","Tox21 hERG data","CCc1cc(Cl)c(OC)c(C(=O)NCC2CCCN2CC)c1O",1,"Row880",6.4208216229260096,12.586597235060536,-0.202614098150816,0.0629657655485245,-0.180539165900428,1.1788978469874,1.28766512689804,0.758275453701063,1.18935670046441,2.01037165941566,29.239386309325,39.148644061782,24.4768263257402,3.18557495074005,0,0,1,-0.347682350718065,0.558769132653061,-0.347682350718065,5.22849891345427,-3.6830016144305
"AADVZSXPNRLYLV","PubChem","O=C(O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21",0,"Row6929",11.21535880699783,29.686365738754667,0.14032384273889,-0.137159047985978,0.0189184505451733,1.07013266183225,1.00116397722167,0.745781220452466,1.2338353782276,1.12883168902524,25.6683827761554,0,22.7999493809702,0,0,0,1,-0.830250246703619,0.619323116975083,-0.830250246703619,0,-3.70595119360787
"AADVZSXPNRLYLV","Tox21 hERG data","O=C(O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21",0,"Row504",11.21535880699783,29.686365738754667,0.14032384273889,-0.137159047985977,0.0189184505451754,1.07013266183225,1.00116397722167,0.745781220452465,1.2338353782276,1.12883168902524,25.6683827761554,0,22.7999493809702,0,0,0,1,-0.830250246703619,0.619323116975083,-0.830250246703619,0,-3.70595119360787
"AAEVYOVXGOFMJO","PubChem","CSc1nc(NC(C)C)nc(NC(C)C)n1",0,"Row6032",0,12.083681658295921,-0.797964310431223,-0.760888110301028,-0.400940453686245,1.43696358427918,1.46033868771342,1.3429077881541,2.49532669596614,1.11947771337872,0,86.3780900104513,42.4911803186077,0,0,0,0,0,0,0,0,-3.0555753838439
"AAFXQFIGKBLKMC","PubChem","O=C(O)C=Cc1ccc(C=CC(=O)O)cc1",0,"Row7187",9.589074368143644,12.152040213667762,-0.239791503958623,0.0905026327699275,0.142965363210743,0.642518165761449,1.25601715616039,0.825335389242254,0.564583892042821,1.59449166398667,6.37114990148008,37.9049898937205,25.3236448483403,0,0,0,0,-2.00953784477774,0,-1.00476892238887,0,-2.43523076807123
"AAIBYZBZXNWTPP","PubChem","OC1CCCCC1c1ccccc1",0,"Row7608",0,5.917906046161393,0.0299680796281781,-0.0777339425376557,0.10447708563659,1.02636616664758,1.02840516685595,1.03875306034141,1.30030484711906,0.922983811206281,3.18557495074004,0,8.25463842914005,0,0,0,0,0,0.971786659108088,0,0,-3.10635242492647
"AAKJLRGGTJKAMG","PubChem","C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1",0,"Row5928",9.473725907600098,36.92302413186203,-0.0999712035293323,-0.0231352696315117,-0.248803581955424,0.918145648195442,0.994709139784231,0.945025951155218,0.994166940461182,0.937580011218064,69.7753992000419,50.6016328713708,37.9049898937205,43.6734865945792,0,0,0,0,0.392174356427603,0,5.85739677989092,-4.08451062326028
"AAKJLRGGTJKAMG","Tox21 hERG data","C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1",0,"Row1824",9.473725907600098,36.92302413186203,-0.0999712035293324,-0.0231352696315117,-0.248803581955424,0.918145648195443,0.994709139784231,0.945025951155218,0.994166940461182,0.937580011218064,69.7753992000419,50.6016328713708,37.9049898937205,43.6734865945792,0,0,0,0,0.392174356427603,0,5.85739677989092,-4.08451062326028
"AAMHBRRZYSORSH","PubChem","CCCCCCCCC1CO1",0,"Row4039",4.736862953800049,0,0.00734911812228166,-0.00628725887122569,-0.100824358272739,0.905003703245213,0.911764705882353,0.695173456433434,0.812818108383499,0.916412517844007,0,0,2.53453173920001,0,0,0,0,0,1.03666666666667,0,5.13620212899975,-2.61849358008721
